sample_idx,y_true,y_pred,raw_output,certainty_factor,confidence,correct,label,arch,split
0,0,0,-0.6033333952363484,0.6033333952363484,0.6033333952363484,1,clean,simple,test
1,1,1,0.030517240616000037,0.030517240616000037,0.030517240616000037,1,clean,simple,test
2,0,1,0.3146035638633942,-0.3146035638633942,0.3146035638633942,0,clean,simple,test
3,0,1,0.3197977919366098,-0.3197977919366098,0.3197977919366098,0,clean,simple,test
4,1,1,0.3662108273528557,0.3662108273528557,0.3662108273528557,1,clean,simple,test
5,1,1,0.17901031508926896,0.17901031508926896,0.17901031508926896,1,clean,simple,test
6,0,0,-0.4241319155346267,0.4241319155346267,0.4241319155346267,1,clean,simple,test
7,0,1,0.3197977919366098,-0.3197977919366098,0.3197977919366098,0,clean,simple,test
8,1,0,-0.10349633956507708,-0.10349633956507708,0.10349633956507708,0,clean,simple,test
9,1,1,0.375879623591677,0.375879623591677,0.375879623591677,1,clean,simple,test
10,1,1,0.18091344370119572,0.18091344370119572,0.18091344370119572,1,clean,simple,test
11,0,0,-0.37822569451785376,0.37822569451785376,0.37822569451785376,1,clean,simple,test
12,0,0,-0.043078538657823066,0.043078538657823066,0.043078538657823066,1,clean,simple,test
13,1,1,0.3303119567670818,0.3303119567670818,0.3303119567670818,1,clean,simple,test
14,0,0,-0.505821609354488,0.505821609354488,0.505821609354488,1,clean,simple,test
15,0,1,0.32258424441968087,-0.32258424441968087,0.32258424441968087,0,clean,simple,test
16,0,0,-0.6033333952363484,0.6033333952363484,0.6033333952363484,1,clean,simple,test
17,0,0,-0.16938313894508936,0.16938313894508936,0.16938313894508936,1,clean,simple,test
18,1,0,-0.08754093105720204,-0.08754093105720204,0.08754093105720204,0,clean,simple,test
19,1,1,0.20906192790780076,0.20906192790780076,0.20906192790780076,1,clean,simple,test
20,0,0,-0.3645212999601005,0.3645212999601005,0.3645212999601005,1,clean,simple,test
21,1,1,0.3205096938131352,0.3205096938131352,0.3205096938131352,1,clean,simple,test
22,0,0,-0.582050297745008,0.582050297745008,0.582050297745008,1,clean,simple,test
23,1,0,-0.4988389538447789,-0.4988389538447789,0.4988389538447789,0,clean,simple,test
24,1,1,0.3303119567670818,0.3303119567670818,0.3303119567670818,1,clean,simple,test
25,0,0,-0.6093592148481732,0.6093592148481732,0.6093592148481732,1,clean,simple,test
26,0,1,0.3223188549765286,-0.3223188549765286,0.3223188549765286,0,clean,simple,test
27,0,0,-0.46381768421263697,0.46381768421263697,0.46381768421263697,1,clean,simple,test
28,0,0,-0.09988759857344925,0.09988759857344925,0.09988759857344925,1,clean,simple,test
29,1,1,0.31150287808493915,0.31150287808493915,0.31150287808493915,1,clean,simple,test
30,0,1,0.46110236283408856,-0.46110236283408856,0.46110236283408856,0,clean,simple,test
31,0,0,-0.6097724110196631,0.6097724110196631,0.6097724110196631,1,clean,simple,test
32,0,0,-0.043078538657823066,0.043078538657823066,0.043078538657823066,1,clean,simple,test
33,1,0,-0.44914175770941034,-0.44914175770941034,0.44914175770941034,0,clean,simple,test
34,0,0,-0.5718009667601814,0.5718009667601814,0.5718009667601814,1,clean,simple,test
35,0,0,-0.5197351547245399,0.5197351547245399,0.5197351547245399,1,clean,simple,test
36,0,0,-0.25239695979588683,0.25239695979588683,0.25239695979588683,1,clean,simple,test
37,0,0,-0.3907023395001578,0.3907023395001578,0.3907023395001578,1,clean,simple,test
38,0,0,-0.31997116386249286,0.31997116386249286,0.31997116386249286,1,clean,simple,test
39,1,1,0.33279603063368957,0.33279603063368957,0.33279603063368957,1,clean,simple,test
40,1,0,-0.49412390496142217,-0.49412390496142217,0.49412390496142217,0,clean,simple,test
41,1,1,0.38594162671710286,0.38594162671710286,0.38594162671710286,1,clean,simple,test
42,0,0,-0.6033333952363483,0.6033333952363483,0.6033333952363483,1,clean,simple,test
43,1,1,0.3167766168749959,0.3167766168749959,0.3167766168749959,1,clean,simple,test
44,1,1,0.1918978698161018,0.1918978698161018,0.1918978698161018,1,clean,simple,test
