sample_idx,y_true,y_pred,raw_output,certainty_factor,confidence,correct,label,arch,split
0,0,0,-0.9162334860548361,0.9162334860548361,0.9162334860548361,1,clean,mera,test
1,1,0,-0.46776143107546564,-0.46776143107546564,0.46776143107546564,0,clean,mera,test
2,0,1,0.9569738625956767,-0.9569738625956767,0.9569738625956767,0,clean,mera,test
3,0,1,0.9584763670047578,-0.9584763670047578,0.9584763670047578,0,clean,mera,test
4,1,1,0.38670187528946254,0.38670187528946254,0.38670187528946254,1,clean,mera,test
5,1,0,-0.7554647487183916,-0.7554647487183916,0.7554647487183916,0,clean,mera,test
6,0,0,-0.9247618695902544,0.9247618695902544,0.9247618695902544,1,clean,mera,test
7,0,1,0.9584763670047578,-0.9584763670047578,0.9584763670047578,0,clean,mera,test
8,1,0,-0.46768854663086956,-0.46768854663086956,0.46768854663086956,0,clean,mera,test
9,1,1,0.7161162915339678,0.7161162915339678,0.7161162915339678,1,clean,mera,test
10,1,0,-0.7472453203656382,-0.7472453203656382,0.7472453203656382,0,clean,mera,test
11,0,0,-0.4674324625879107,0.4674324625879107,0.4674324625879107,1,clean,mera,test
12,0,0,-0.9162200864097337,0.9162200864097337,0.9162200864097337,1,clean,mera,test
13,1,1,0.3574145172192741,0.3574145172192741,0.3574145172192741,1,clean,mera,test
14,0,0,-0.913246012507486,0.913246012507486,0.913246012507486,1,clean,mera,test
15,0,1,0.9582458802123803,-0.9582458802123803,0.9582458802123803,0,clean,mera,test
16,0,0,-0.916233486054836,0.916233486054836,0.916233486054836,1,clean,mera,test
17,0,0,-0.4675185675130916,0.4675185675130916,0.4675185675130916,1,clean,mera,test
18,1,0,-0.9212194393471987,-0.9212194393471987,0.9212194393471987,0,clean,mera,test
19,1,1,0.8331495642650646,0.8331495642650646,0.8331495642650646,1,clean,mera,test
20,0,0,-0.9212138627102374,0.9212138627102374,0.9212138627102374,1,clean,mera,test
21,1,1,0.3575254962614829,0.3575254962614829,0.3575254962614829,1,clean,mera,test
22,0,0,-0.9162094140421585,0.9162094140421585,0.9162094140421585,1,clean,mera,test
23,1,0,-0.9162300124961995,-0.9162300124961995,0.9162300124961995,0,clean,mera,test
24,1,1,0.3574145172192741,0.3574145172192741,0.3574145172192741,1,clean,mera,test
25,0,0,-0.916222291446174,0.916222291446174,0.916222291446174,1,clean,mera,test
26,0,1,0.958160505273188,-0.958160505273188,0.958160505273188,0,clean,mera,test
27,0,0,-0.46747721416361243,0.46747721416361243,0.46747721416361243,1,clean,mera,test
28,0,0,-0.9161571468749137,0.9161571468749137,0.9161571468749137,1,clean,mera,test
29,1,1,0.9565145970104157,0.9565145970104157,0.9565145970104157,1,clean,mera,test
30,0,1,0.5469554102913883,-0.5469554102913883,0.5469554102913883,0,clean,mera,test
31,0,0,-0.9162242840884565,0.9162242840884565,0.9162242840884565,1,clean,mera,test
32,0,0,-0.9162200864097338,0.9162200864097338,0.9162200864097338,1,clean,mera,test
33,1,0,-0.9161885812150141,-0.9161885812150141,0.9161885812150141,0,clean,mera,test
